p_id,first_name,height_feet,height_inches,last_name,position,weight_pounds,id,abbreviation,city,conference,division,full_name,name
14,Ike,,,Anigbogu,C,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
25,Ron,,,Baker,G,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
47,Jabari,,,Bird,G,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
67,MarShon,,,Brooks,G,,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
71,Lorenzo,,,Brown,G,,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
90,Omri,,,Casspi,F,,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1,Alex,6.0,6.0,Abrines,G,200.0,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
119,Tyler,,,Davis,C,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
149,Keenan,,,Evans,G,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
179,Marcin,,,Gortat,C,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
1593,Andrew,,,Bogut,F,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
241,Amir,6.0,9.0,Johnson,C-F,240.0,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
392,Malachi,,,Richardson,G,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
281,Zach,,,Lofton,G,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
263,Kosta,7.0,0.0,Koufos,C,245.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
382,Billy,,,Preston,F,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
384,Zhou,,,Qi,F-C,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
388,Zach,,,Randolph,F,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
430,DJ,,,Stephens,G-F,,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
437,Milos,,,Teodosic,G,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
448,Gary,,,Trent Jr.,G,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
494,Michael,,,Smith,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
495,John,,,Morton,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
496,Howard,,,Wright,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
497,Michael,,,Ansley,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
498,John,,,Salley,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
499,Dan,,,Schayes,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
500,Mark,,,Eaton,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
501,Kevin,,,Johnson,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
502,Danny,,,Ainge,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
503,Kenny,,,Smith,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
504,Randy,,,Breuer,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
505,Herb,,,Williams,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
506,Joe,,,Wolf,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
507,Steve,,,Johnson,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
508,Glen,,,Rice,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
509,Greg,,,Foster,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
510,Larry,,,Nance,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
511,Duane,,,Ferrell,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
512,Nick,,,Anderson,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
513,Joe,,,Dumars,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
514,Jay,,,Humphries,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
515,Darrell,,,Griffith,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
516,Dan,,,Majerle,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
517,Tom,,,Chambers,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
518,Alaa,,,Abdelnaby,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
519,Adrian,,,Caldwell,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
520,Vernon,,,Maxwell,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
521,Doug,,,West,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
522,Tony,,,Campbell,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
523,Roy,,,Tarpley,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
524,Anthony,,,Cook,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
525,Todd,,,Lichti,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
526,Tom,,,Tolbert,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
527,Billy,,,Thompson,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
528,Byron,,,Irvin,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
529,Mark,,,Price,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
530,Dominique,,,Wilkins,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
531,Dennis,,,Scott,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
532,Terry,,,Catledge,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
533,Bill,,,Laimbeer,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
534,William,,,Bedford,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
535,Ricky,,,Pierce,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
536,Blue,,,Edwards,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
537,Walter,,,Palmer,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
538,Mark,,,West,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
539,Clifford,,,Robinson,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
540,Hakeem,,,Olajuwon,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
541,Richard,,,Coffey,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
542,James,,,Donaldson,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
543,Jerome,,,Lane,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
544,Sarunas,,,Marciulionis,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
545,Grant,,,Long,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
546,Willie,,,Burton,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
547,Mark,,,Alarie,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
548,Winston,,,Bennett,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
549,Doc,,,Rivers,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
550,Tim,,,McCormick,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
551,Scott,,,Skiles,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
552,Dennis,,,Rodman,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
553,Greg,,,Anderson,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
554,Jeff,,,Malone,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
555,Cedric,,,Ceballos,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
556,Tim,,,Perry,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
557,Buck,,,Williams,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
558,Dave,,,Jamerson,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
559,Scott,,,Brooks,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
560,Rolando,,,Blackman,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
561,Avery,,,Johnson,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
562,Rod,,,Higgins,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
563,Jon,,,Sundvold,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
564,A.J.,,,English,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
565,John,,,Battle,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
18170939,Georgios,,,Kalaitzakis,F,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
566,Sam,,,Vincent,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
567,Isiah,,,Thomas,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
568,Brad,,,Lohaus,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
569,Mike,,,Brown,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
570,Kenny,,,Battle,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
571,Danny,,,Young,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
572,Larry,,,Smith,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
573,Pooh,,,Richardson,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
574,Derek,,,Harper,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
575,Michael,,,Adams,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
576,Tim,,,Hardaway,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
577,Bimbo,,,Coles,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
578,Darrell,,,Walker,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
579,Kevin,,,Willis,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
580,Otis,,,Smith,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
581,James,,,Edwards,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
582,Frank,,,Brickowski,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
583,Karl,,,Malone,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
584,Ian,,,Lockhart,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
585,Kevin,,,Duckworth,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
586,Otis,,,Thorpe,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
587,Gerald,,,Glass,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
588,Alex,,,English,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
589,T.R.,,,Dunn,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
590,Alton,,,Lister,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
591,Sherman,,,Douglas,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
592,Charles,,,Jones,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
593,Moses,,,Malone,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
594,Mark,,,Acres,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
595,Lance,,,Blanks,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
596,Jeff,,,Grayer,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
597,Chris,,,Munk,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
598,Jeff,,,Hornacek,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
599,Jerome,,,Kersey,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
600,Dave,,,Feitl,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
601,Tod,,,Murphy,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
602,Lafayette,,,Lever,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
603,Corey,,,Gaines,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
